timestamp,username,tweet_text,url,unnamed_col,label_llm,label_manual,predicted_label
"November 30, 2025 at 09:50AM",@setyoriono,"RT @SeputarTetangga: Sounds familiar...

Bisa kak, pasti bisa.
Harus tega. Serahkan ke negara kalau keadaan mereka bener2 yg perlu bantuan…",https://twitter.com/setyoriono/status/1994962147835789548,,BUKAN,,BUKAN
"November 28, 2025 at 07:34PM",@acelliu,ini nomor judol bisa stop chat atau telpon aku gak¿¿?? aku ga tertarik judollllll,https://twitter.com/acelliu/status/1994384402034618374,,BUKAN,,BUKAN
"November 29, 2025 at 06:09PM",@KayanaDuris,"RT @Anak__Ogi: Saat negara sdng berduka, netizen ramai2 berdoa #PrayForSumatera dan mengutuk pembalakan hutan, bebek-bebek @PartaiSocmed ma…",https://twitter.com/KayanaDuris/status/1994725504159813979,,BUKAN,,BUKAN
"November 29, 2025 at 09:35AM",@Nanariana0115,@MurtadhaOne1 Apa jaringan konsorsium judol 303dan inisial T ?,https://twitter.com/Nanariana0115/status/1994596109214519347,,BUKAN,,BUKAN
"November 29, 2025 at 05:18PM",@y_haandsome,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/y_haandsome/status/1994712650903949321,,BUKAN,,BUKAN
"November 29, 2025 at 05:05PM",@Smart_O_,"RT @Anak__Ogi: Saat negara sdng berduka, netizen ramai2 berdoa #PrayForSumatera dan mengutuk pembalakan hutan, bebek-bebek @PartaiSocmed ma…",https://twitter.com/Smart_O_/status/1994709224753172827,,BUKAN,,BUKAN
"November 29, 2025 at 10:04AM",@Aespatuh,"@auliariski46654 @BungaBeceel You can putus akses/block, Kak liat ini, klo misal udah ngontrak tapi masih di pintain uang putus segala akses sama om nya

Pindah lebih jauh, karna cwok klo udah berani jual eletronik itu ga jauh dari judol/sabu, soal nya ya ipar aku pernah jual tablet anak nya buat slot https://t.co/pHH8SX9c9m",https://twitter.com/Aespatuh/status/1994603429579411904,https://x.com/Aespatuh/status/1994603429579411904/photo/1,BUKAN,,BUKAN
"November 30, 2025 at 08:29AM",@Heydanar,"RT @SeputarTetangga: Sounds familiar...

Bisa kak, pasti bisa.
Harus tega. Serahkan ke negara kalau keadaan mereka bener2 yg perlu bantuan…",https://twitter.com/Heydanar/status/1994941704009650235,,BUKAN,,BUKAN
"November 28, 2025 at 05:05PM",@DioDjent,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/DioDjent/status/1994346815273984303,,BUKAN,,BUKAN
"November 29, 2025 at 05:52PM",@qubisqubisku,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/qubisqubisku/status/1994721156222652602,,BUKAN,,BUKAN
"November 28, 2025 at 05:01PM",@tarigan_he33920,KEJUQQ : Situs Judi Online Poker DominoQQ dan BandarQQ Online   LINK : https://t.co/ES5v8cONC8 https://t.co/1qHJSR7kSw,https://twitter.com/tarigan_he33920/status/1994345970767974492,https://heylink.me/kejuqq_2025,PROMOSI,,PROMOSI
"November 29, 2025 at 05:20PM",@NurisaLala81388,KEJUQQ : Situs Judi Online Poker DominoQQ dan BandarQQ Online   LINK : https://t.co/fvBRrY8741 https://t.co/uUkNLkoJJA,https://twitter.com/NurisaLala81388/status/1994713107588157583,https://heylink.me/kejuqq_2025,PROMOSI,,PROMOSI
"November 29, 2025 at 01:28PM",@aespink_venom,"@auliariski46654 Setan itu main judol ya kak??? 
Run kak, putus semua komunikasi orang kek gini benalu, jangan sampaii kalian ngerasain akibat perbuatan diaaa lagii😀 kamu berhak ngamuk dan marah besar ke keluargamuu kakk, abis itu cut off aja semuanyaaa fokus ke diri sama anak kamu aja kak.",https://twitter.com/aespink_venom/status/1994654714341032116,,BUKAN,,BUKAN
"November 28, 2025 at 11:11PM",@kalanisasi,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/kalanisasi/status/1994439101919985964,,BUKAN,,BUKAN
"November 28, 2025 at 07:47PM",@mr_giangacor,"RT @AnthonyBudiawan: Indonesia terus dilanda kisruh, setelah IKN, ijazah palsu, judi online, Whoosh, kini skandal bandara Morowali mencuat.…",https://twitter.com/mr_giangacor/status/1994387550849646705,,BUKAN,,BUKAN
"November 28, 2025 at 06:55PM",@deadaraxmay,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/deadaraxmay/status/1994374507612848311,,BUKAN,,BUKAN
"November 29, 2025 at 06:16AM",@otongjason,@aditxtida @infobdg Pinjol + judol kadang kebanyakan nu jadi pemantikna.,https://twitter.com/otongjason/status/1994545865659486326,,PROMOSI,,BUKAN
"November 28, 2025 at 05:38PM",@Walkinforest2,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/Walkinforest2/status/1994355293606572266,,BUKAN,,BUKAN
"November 30, 2025 at 07:04AM",@rememorari,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/rememorari/status/1994920491409436938,,BUKAN,,BUKAN
"November 30, 2025 at 09:44AM",@95nakayut,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/95nakayut/status/1994960747588362715,,BUKAN,,BUKAN
"November 29, 2025 at 03:20AM",@LuviKun,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/LuviKun/status/1994501568398594423,,BUKAN,,BUKAN
"November 30, 2025 at 07:22AM",@Agendarat_resmi,"Agendarattogel Adalah Bandar Judi Togel Online Berlisensi Resmi

✅ Bonus 100% Member Baru

✅ Bonus 20% Member Baru
LANGSUNG DAPAT DIAWAL

✅ Bonus Depo Harian
Setiap Depo Dapat Bonus

📲 Whatsapp Resmi = 0818-0225-6155
🌐 Link Situs = https://t.co/1KS3qakPKs

#agendarattogel https://t.co/AjrlDGSvLp",https://twitter.com/Agendarat_resmi/status/1994924973564334293,https://heylink.me/Agendarattogel_resmi/,PROMOSI,,PROMOSI
"November 30, 2025 at 11:06AM",@fitri_rama6,"@Jimjnyu Hidup sekali bro, jangan diisi sama main judi online, mending explore hobi baru",https://twitter.com/fitri_rama6/status/1994981444280881570,,BUKAN,,BUKAN
"November 29, 2025 at 12:47PM",@fahriforget,@nollaak Judol wkwk,https://twitter.com/fahriforget/status/1994644466691633522,,BUKAN,,BUKAN
"November 30, 2025 at 10:27AM",@mingoowonyoo,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/mingoowonyoo/status/1994971614535193054,,BUKAN,,BUKAN
"November 28, 2025 at 05:24PM",@aweeawik,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/aweeawik/status/1994351635037069380,,BUKAN,,BUKAN
"November 29, 2025 at 03:00PM",@mediabantencom,"Kemensos Hentikan Bantuan Sosial PKH ke 20 KPM di Cilegon, Terindikasi Judi Online https://t.co/4hyOs50gYR https://t.co/h19nCk7Lwa",https://twitter.com/mediabantencom/status/1994677718819246575,https://mediabanten.com/kemensos-hentikan-bantuan-sosial-pkh-ke-20-kpm-di-cilegon-terindikasi-judi-online/,BUKAN,,PROMOSI
"November 29, 2025 at 10:31AM",@unconciousmoon,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/unconciousmoon/status/1994610078629204071,,BUKAN,,BUKAN
"November 29, 2025 at 07:19AM",@beamnadnuda,"@ARSIPAJA @grok @kegblgnunfaedh @Nontonline_id
member baru dijamin withdraw
buruan main https://t.co/63dk2prWfy
#infoslotgacor #judol #gameonline https://t.co/63aJehcpap",https://twitter.com/beamnadnuda/status/1994561738348679518,http://t.ly/luckybet89,PROMOSI,,PROMOSI
"November 28, 2025 at 04:45PM",@JaneDoe1003,"RT @ObiWan_Catnobi: ""PSE (termasuk web & apps) yang ga daftar ke Komdigi bakal diblokir"" adalah bentuk whitelisting.

Alias semua dilarang…",https://twitter.com/JaneDoe1003/status/1994341803546538215,,BUKAN,,BUKAN
